"tcell_line","cluster","Time","n","perc"
"CD4_TEG","9",5.33333333333333,56,18.7290969899666
"CD4_TEG","9",5.36666666666667,56,18.9189189189189
"CD4_TEG","9",5.4,56,19.1126279863481
"CD4_TEG","9",5.43333333333333,58,20
"CD4_TEG","9",5.46666666666667,58,19.9312714776632
"CD4_TEG","9",5.5,57,19.5876288659794
"CD4_TEG","9",5.53333333333333,57,19.7916666666667
"CD4_TEG","9",5.56666666666667,56,19.7183098591549
"CD4_TEG","9",5.6,56,19.9288256227758
"CD4_TEG","9",5.63333333333333,57,20.5776173285199
"CD4_TEG","9",5.66666666666667,57,20.2846975088968
"CD4_TEG","9",5.7,57,20.2846975088968
"CD4_TEG","9",5.73333333333333,57,20.5035971223022
"CD4_TEG","9",5.76666666666667,58,20.7885304659498
"CD4_TEG","9",5.8,56,20
"CD4_TEG","9",5.83333333333333,57,20.5776173285199
"CD4_TEG","9",5.86666666666667,57,20.4301075268817
"CD4_TEG","9",5.9,54,19.4945848375451
"CD4_TEG","9",5.93333333333333,55,20.0729927007299
"CD4_TEG","9",5.96666666666667,55,20.4460966542751
"CD4_TEG","9",6,53,19.2028985507246
"CD4_TEG","9",6.03333333333333,53,19.1335740072202
"CD4_TEG","9",6.06666666666667,53,19.2727272727273
"CD4_TEG","9",6.1,53,19.4139194139194
"CD4_TEG","9",6.13333333333333,53,19.5571955719557
"CD4_TEG","9",6.16666666666667,54,19.9261992619926
"CD4_TEG","9",6.2,53,19.6296296296296
"CD4_TEG","9",6.23333333333333,51,19.3916349809886
"CD4_TEG","9",6.26666666666667,51,19.5402298850575
"CD4_TEG","9",6.3,51,19.5402298850575
"CD4_TEG","9",6.33333333333333,51,19.6153846153846
"CD4_TEG","9",6.36666666666667,52,19.8473282442748
"CD4_TEG","9",6.4,52,19.6969696969697
"CD4_TEG","9",6.43333333333333,50,19.0839694656489
"CD4_TEG","9",6.46666666666667,52,19.6969696969697
"CD4_TEG","9",6.5,54,20.6896551724138
"CD4_TEG","9",6.53333333333333,56,21.455938697318
"CD4_TEG","9",6.56666666666667,55,21.0727969348659
"CD4_TEG","9",6.6,52,20.3125
"CD4_TEG","9",6.63333333333333,51,19.8443579766537
"CD4_TEG","9",6.66666666666667,51,19.921875
"CD4_TEG","9",6.7,51,19.6911196911197
"CD4_TEG","9",6.73333333333333,52,20.0772200772201
"CD4_TEG","9",6.76666666666667,50,19.6850393700787
"CD4_TEG","9",6.8,50,19.53125
"CD4_TEG","9",6.83333333333333,52,20.3125
"CD4_TEG","9",6.86666666666667,53,20.7843137254902
"CD4_TEG","9",6.9,54,21.4285714285714
"CD4_TEG","9",6.93333333333333,54,21.5139442231076
"CD4_TEG","9",6.96666666666667,52,20.7171314741036
"CD4_TEG","9",7,50,19.6850393700787
"CD4_TEG","9",7.03333333333333,51,20.0787401574803
"CD4_TEG","9",7.06666666666667,50,20.0803212851406
"CD4_TEG","9",7.1,50,19.8412698412698
"CD4_TEG","9",7.13333333333333,51,20.4819277108434
"CD4_TEG","9",7.16666666666667,50,20.0803212851406
"CD4_TEG","9",7.2,47,19.3415637860082
"CD4_TEG","9",7.23333333333333,46,18.8524590163934
"CD4_TEG","9",7.26666666666667,45,18.75
"CD4_TEG","9",7.3,46,19.6581196581197
"CD4_TEG","9",7.33333333333333,45,19.5652173913043
"CD4_TEG","9",7.36666666666667,44,19.1304347826087
"CD4_TEG","9",7.4,43,18.4549356223176
"CD4_TEG","9",7.43333333333333,46,19.5744680851064
"CD4_TEG","9",7.46666666666667,45,19.6506550218341
"CD4_TEG","9",7.5,45,19.31330472103
"CD4_TEG","9",7.53333333333333,44,19.1304347826087
"CD4_TEG","9",7.56666666666667,43,18.7772925764192
"CD4_TEG","9",7.6,42,18.3406113537118
"CD4_TEG","9",7.63333333333333,41,17.9039301310044
"CD4_TEG","9",7.66666666666667,41,17.9039301310044
"CD4_TEG","9",7.7,40,17.8571428571429
"CD4_TEG","9",7.73333333333333,40,18.0995475113122
"CD4_TEG","9",7.76666666666667,39,17.9723502304147
"CD4_TEG","9",7.8,40,18.4331797235023
"CD4_TEG","9",7.83333333333333,40,18.6046511627907
"CD4_TEG","9",7.86666666666667,40,18.2648401826484
"CD4_TEG","9",7.9,40,18.348623853211
"CD4_TEG","9",7.93333333333333,40,18.6046511627907
"CD4_TEG","9",7.96666666666667,37,17.2897196261682
"CD4_TEG","9",8,35,16.4319248826291
"CD4_TEG","9",8.03333333333333,35,16.2037037037037
"CD4_TEG","9",8.06666666666667,35,16.5876777251185
"CD4_TEG","9",8.1,35,16.7464114832536
"CD4_TEG","9",8.13333333333333,32,15.4589371980676
"CD4_TEG","9",8.16666666666667,34,16.1137440758294
"CD4_TEG","9",8.2,34,16.2679425837321
"CD4_TEG","9",8.23333333333333,34,16.4251207729469
"CD4_TEG","9",8.26666666666667,33,15.7894736842105
"CD4_TEG","9",8.3,31,15.2709359605911
"CD4_TEG","9",8.33333333333333,32,15.6862745098039
"CD4_TEG","9",8.36666666666667,32,15.609756097561
"CD4_TEG","9",8.4,32,15.4589371980676
"CD4_TEG","9",8.43333333333333,33,15.9420289855072
"CD4_TEG","9",8.46666666666667,32,15.3846153846154
"CD4_TEG","9",8.5,31,14.9038461538462
"CD4_TEG","9",8.53333333333333,31,14.9038461538462
"CD4_TEG","9",8.56666666666667,31,14.975845410628
"CD4_TEG","9",8.6,31,14.9038461538462
"CD4_TEG","9",8.63333333333333,30,14.4927536231884
"CD4_TEG","9",8.66666666666667,30,14.4927536231884
"CD4_TEG","9",8.7,29,14.4278606965174
"CD4_TEG","9",8.73333333333333,30,14.8514851485149
"CD4_TEG","9",8.76666666666667,29,14.6464646464646
"CD4_TEG","9",8.8,29,14.7208121827411
"CD4_TEG","9",8.83333333333333,29,14.7208121827411
"CD4_TEG","9",8.86666666666667,29,14.8717948717949
"CD4_TEG","9",8.9,28,14.070351758794
"CD4_TEG","9",8.93333333333333,27,13.5
"CD4_TEG","9",8.96666666666667,26,13.1313131313131
"CD4_TEG","9",9,25,12.6903553299492
"CD4_TEG","9",9.03333333333333,25,12.8205128205128
"CD4_TEG","9",9.06666666666667,25,12.9533678756477
"CD4_TEG","9",9.1,25,13.0208333333333
"CD4_TEG","9",9.13333333333333,25,13.2275132275132
"CD4_TEG","9",9.16666666666667,25,13.3689839572193
"CD4_TEG","9",9.2,25,13.5135135135135
"CD4_TEG","9",9.23333333333333,25,13.6612021857923
"CD4_TEG","9",9.26666666666667,25,13.8888888888889
"CD4_TEG","9",9.3,24,13.5593220338983
"CD4_TEG","9",9.33333333333333,22,12.9411764705882
"CD4_TEG","9",9.36666666666667,20,11.9760479041916
"CD4_TEG","9",9.4,20,12.1951219512195
"CD4_TEG","9",9.43333333333333,20,12.3456790123457
"CD4_TEG","9",9.46666666666667,19,12.1019108280255
"CD4_TEG","9",9.5,18,11.9205298013245
"CD4_TEG","9",9.53333333333333,17,11.4864864864865
"CD4_TEG","9",9.56666666666667,16,11.1888111888112
"CD4_TEG","9",9.6,15,10.8695652173913
"CD4_TEG","9",9.63333333333333,15,11.1940298507463
"CD4_TEG","9",9.66666666666667,15,11.2781954887218
"CD4_TEG","9",9.7,15,11.4503816793893
"CD4_TEG","9",9.73333333333333,14,11.1111111111111
"CD4_TEG","9",9.76666666666667,13,10.5691056910569
"CD4_TEG","9",9.8,12,10.0840336134454
"CD4_TEG","9",9.83333333333333,12,10.4347826086957
"CD4_TEG","9",9.86666666666667,10,9.1743119266055
"CD4_TEG","9",9.9,10,9.52380952380952
"CD4_TEG","9",9.93333333333333,10,9.9009900990099
"CD4_TEG","9",9.96666666666667,10,10.6382978723404
"CD8_TEG","9",1,93,13.1170662905501
"CD8_TEG","9",1.03333333333333,94,13.1652661064426
"CD8_TEG","9",1.06666666666667,96,13.4078212290503
"CD8_TEG","9",1.1,98,13.6111111111111
"CD8_TEG","9",1.13333333333333,99,13.6929460580913
"CD8_TEG","9",1.16666666666667,98,13.5922330097087
"CD8_TEG","9",1.2,101,13.8736263736264
"CD8_TEG","9",1.23333333333333,95,13.2127955493741
"CD8_TEG","9",1.26666666666667,95,13.268156424581
"CD8_TEG","9",1.3,94,13.1101813110181
"CD8_TEG","9",1.33333333333333,98,13.6300417246175
"CD8_TEG","9",1.36666666666667,101,13.969571230982
"CD8_TEG","9",1.4,102,13.972602739726
"CD8_TEG","9",1.43333333333333,107,14.4986449864499
"CD8_TEG","9",1.46666666666667,107,14.3624161073826
"CD8_TEG","9",1.5,108,14.5161290322581
"CD8_TEG","9",1.53333333333333,110,14.6862483311081
"CD8_TEG","9",1.56666666666667,112,14.9732620320856
"CD8_TEG","9",1.6,109,14.6900269541779
"CD8_TEG","9",1.63333333333333,113,15.1474530831099
"CD8_TEG","9",1.66666666666667,114,15.2815013404826
"CD8_TEG","9",1.7,115,15.4986522911051
"CD8_TEG","9",1.73333333333333,115,15.625
"CD8_TEG","9",1.76666666666667,115,15.7534246575342
"CD8_TEG","9",1.8,117,15.9183673469388
"CD8_TEG","9",1.83333333333333,118,15.9891598915989
"CD8_TEG","9",1.86666666666667,122,16.3101604278075
"CD8_TEG","9",1.9,124,16.6442953020134
"CD8_TEG","9",1.93333333333333,127,16.8882978723404
"CD8_TEG","9",1.96666666666667,129,17.0409511228534
"CD8_TEG","9",2,129,17.1770972037284
"CD8_TEG","9",2.03333333333333,133,17.6158940397351
"CD8_TEG","9",2.06666666666667,137,18.218085106383
"CD8_TEG","9",2.1,139,18.4840425531915
"CD8_TEG","9",2.13333333333333,143,18.9655172413793
"CD8_TEG","9",2.16666666666667,146,19.1601049868766
"CD8_TEG","9",2.2,146,19.3121693121693
"CD8_TEG","9",2.23333333333333,144,19.1235059760956
"CD8_TEG","9",2.26666666666667,146,19.4148936170213
"CD8_TEG","9",2.3,149,19.7350993377483
"CD8_TEG","9",2.33333333333333,151,19.8945981554677
"CD8_TEG","9",2.36666666666667,151,20.026525198939
"CD8_TEG","9",2.4,151,20.1065246338216
"CD8_TEG","9",2.43333333333333,150,20
"CD8_TEG","9",2.46666666666667,153,20.4819277108434
"CD8_TEG","9",2.5,154,20.5607476635514
"CD8_TEG","9",2.53333333333333,151,20.2412868632708
"CD8_TEG","9",2.56666666666667,150,20
"CD8_TEG","9",2.6,151,20.1871657754011
"CD8_TEG","9",2.63333333333333,150,20.0534759358289
"CD8_TEG","9",2.66666666666667,151,20.1333333333333
"CD8_TEG","9",2.7,154,20.5333333333333
"CD8_TEG","9",2.73333333333333,153,20.5093833780161
"CD8_TEG","9",2.76666666666667,152,20.2666666666667
"CD8_TEG","9",2.8,150,20.0534759358289
"CD8_TEG","9",2.83333333333333,150,20.1072386058981
"CD8_TEG","9",2.86666666666667,150,20.1884253028264
"CD8_TEG","9",2.9,155,20.8333333333333
"CD8_TEG","9",2.93333333333333,157,21.1021505376344
"CD8_TEG","9",2.96666666666667,158,21.1796246648794
"CD8_TEG","9",3,158,21.0666666666667
"CD8_TEG","9",3.03333333333333,157,21.0455764075067
"CD8_TEG","9",3.06666666666667,159,21.1717709720373
"CD8_TEG","9",3.1,159,21.3709677419355
"CD8_TEG","9",3.13333333333333,161,21.7273954116059
"CD8_TEG","9",3.16666666666667,162,21.832884097035
"CD8_TEG","9",3.2,161,21.8157181571816
"CD8_TEG","9",3.23333333333333,163,21.9676549865229
"CD8_TEG","9",3.26666666666667,160,21.8281036834925
"CD8_TEG","9",3.3,160,21.8281036834925
"CD8_TEG","9",3.33333333333333,149,22.2720478325859
"CD8_TEG","9",3.36666666666667,132,26.6129032258065
"CD8_TEG","9",3.4,128,26.0162601626016
"CD8_TEG","9",3.43333333333333,135,26.7326732673267
"CD8_TEG","9",3.46666666666667,140,27.2373540856031
"CD8_TEG","9",3.5,142,27.2552783109405
"CD8_TEG","9",3.53333333333333,143,27.0321361058601
"CD8_TEG","9",3.56666666666667,143,26.7790262172285
"CD8_TEG","9",3.6,145,26.7527675276753
"CD8_TEG","9",3.63333333333333,147,26.7272727272727
"CD8_TEG","9",3.66666666666667,149,26.8468468468468
"CD8_TEG","9",3.7,151,27.5045537340619
"CD8_TEG","9",3.73333333333333,151,27.9112754158965
"CD8_TEG","9",3.76666666666667,148,27.4074074074074
"CD8_TEG","9",3.8,148,27.56052141527
"CD8_TEG","9",3.83333333333333,148,27.5092936802974
"CD8_TEG","9",3.86666666666667,146,27.3921200750469
"CD8_TEG","9",3.9,144,26.7657992565056
"CD8_TEG","9",3.93333333333333,145,26.8518518518519
"CD8_TEG","9",3.96666666666667,151,27.6051188299817
"CD8_TEG","9",4,152,27.6867030965392
"CD8_TEG","9",4.03333333333333,155,28.1306715063521
"CD8_TEG","9",4.06666666666667,158,28.4684684684685
"CD8_TEG","9",4.1,157,28.1362007168459
"CD8_TEG","9",4.13333333333333,161,28.6476868327402
"CD8_TEG","9",4.16666666666667,164,29.1814946619217
"CD8_TEG","9",4.2,164,29.2857142857143
"CD8_TEG","9",4.23333333333333,165,29.4117647058824
